 "i" , "cLabel" , "sLabel" ,
 "http://dbpedia.org/resource/Bourbaki–Witt_theorem" , "theorem" , "Fixed-point theorems --- Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Brahmagupta's_formula" , "theorem" , "Theorems in geometry --- Theorems in plane geometry" ,
 "http://dbpedia.org/resource/Brahmagupta's_identity" , "theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Brahmagupta_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Brahmagupta–Fibonacci_identity" , "theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Braikenridge–Maclaurin_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Bramble–Hilbert_lemma" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Branching_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Brascamp–Lieb_inequality" , "inequality --- theorem" , "Geometric inequalities" ,
 "http://dbpedia.org/resource/Brauer's_theorem_on_forms" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Brauer's_theorem_on_induced_characters" , "theorem" , "Theorems in representation theory" ,
 "http://dbpedia.org/resource/Brauer's_three_main_theorems" , "theorem" , "Theorems in representation theory" ,
 "http://dbpedia.org/resource/Brauer–Fowler_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Brauer–Nesbitt_theorem" , "theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Brauer–Siegel_theorem" , "theorem" , "Theorems in algebraic number theory" ,
 "http://dbpedia.org/resource/Brauer–Suzuki_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Brauer–Suzuki–Wall_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Brezis–Gallouet_inequality" , "theorem" , "Inequalities --- Theorems in analysis" ,
 "http://dbpedia.org/resource/Brian_Conrad" , "agent --- human --- person --- scientist" , "Fermat's Last Theorem" ,
 "http://dbpedia.org/resource/Brianchon's_theorem" , "theorem" , "Theorems in plane geometry --- Theorems in projective geometry" ,
 "http://dbpedia.org/resource/British_flag_theorem" , "theorem" , "Theorems in plane geometry" ,
 "http://dbpedia.org/resource/Brooks'_theorem" , "theorem" , "Theorems in graph theory" ,
